step,perplexity,perc_mem
11000,27.333333333333332,0.24752475321292877
22000,24.54901960784314,0.3584158420562744
33000,23.137254901960784,0.39207923412323
44000,22.41176470588235,0.4554455578327179
55000,21.764705882352942,0.5108910799026489
66000,21.176470588235293,0.5089108943939209
77000,20.784313725490197,0.6000000238418579
88000,20.45098039215686,0.6356436014175415
99000,19.99019607843137,0.699009895324707
110000,19.705882352941178,0.7405940890312195
121000,19.57843137254902,0.7346534729003906
132000,19.480392156862745,0.7584158778190613
143000,19.46078431372549,0.893069326877594
